\ EQUINOX = 'J2000.0'
\ Query
|   ra            |   dec           |
|   double        |   double        |
|   deg           |   deg           |
 024.8434602551700 -70.8340414056600
 078.6679115765600 -68.9092607006300
 010.24217099000   +41.00060718000  
 074.4227396182900 -72.2646382221800
 075.5331516894400 -68.4854816866900
 016.0407008944700 -73.0988105289500
 126.3921001087142 -48.6690775289383
 014.0663664762700 -71.8306018318300
 204.1537294396100 -64.5583097082200
 014.2876853960200 -74.3302671778800
 010.25035930000   +40.61241319000  
 253.2894417935575 -57.0289385707747
 063.3793600903500 +41.3187805702400
 079.1213602425200 -69.5356585840400
 010.0169780216600 +40.5758787651800
 023.4685008377775 +30.6455784998756
 279.7016694814700 -13.4127753719800
 264.3041059543700 -32.1907189604800
 017.4197983230700 -73.7182498668100
 080.6782952155400 -69.8712060491000
 010.9724649214600 +41.6311695875800
 011.257789        -73.385986       
 012.3419941539000 -73.7514394083900
 053.5989067597800 +58.4138926887300
 013.5667811119700 -71.9347103587800
 281.0449409773600 -03.5958370219500
 289.2134517606200 +48.1790072367700
 014.5723583972000 -70.7759372102300
 012.3842738507200 -73.7578650365700
 009.8776299074300 +40.4105440178600
 015.5573599116000 -72.8924014607700
 077.0736590191100 -70.1912829631700
 011.1182716644500 -73.4567808134100
 014.9199290772100 -76.0067732304500
